page,section_index,heading,word_count,preview
"philosophy.html",3,"The Brand Elements",197,"Six patterns extracted from 28+ years of actual work — not marketing slogans; but recurring themes f"
"philosophy.html",4,"How I Work",114,"How I Work             The three-step pattern that repeats across every project:                    "
"philosophy.html",5,"How I Work",111,"The three-step pattern that repeats across every project: Deconstruct the Chaos                     "
"philosophy.html",6,"Deconstruct the Chaos",24,"I use forensic engineering to understand "black box" legacy systems. Never blame the human first — i"
"philosophy.html",7,"Build the Tool",25,"I create reusable frameworks (middleware; CMS templates; AI agents) to solve the root cause. Don't j"
"philosophy.html",8,"Empower the User",19,"I hand off robust tools that make complex processes feel simple. Documented; maintainable; and built"
"philosophy.html",9,"Pattern 158 Origin",218,"Pattern 158 Origin                               The name comes from a puzzle in Myst — the 1993 poi"
"philosophy.html",10,"Pattern 158 Origin",215,"The name comes from a puzzle in Myst — the 1993 point-and-click adventure game that defined a genera"
"philosophy.html",11,"Five Core Influences",611,"Five Core Influences             These aren't abstract inspirations — they're specific sources that "
"philosophy.html",12,"Five Core Influences",16,"These aren't abstract inspirations — they're specific sources that shaped how I think about engineer"
"philosophy.html",13,"1. Air Crash Investigation Methodology",122,"1. Air Crash Investigation Methodology                 Sources: Mayday (Air Crash Investigation TV);"
"philosophy.html",14,"1. Air Crash Investigation Methodology",117,"Sources: Mayday (Air Crash Investigation TV); Mentour Pilot (YouTube); 74 Gear (YouTube) What it tau"
"philosophy.html",15,"2. Speedrunning / TASBot Culture",114,"2. Speedrunning / TASBot Culture                 Sources: TASBot demonstrations; tool-assisted speed"
"philosophy.html",16,"2. Speedrunning / TASBot Culture",109,"Sources: TASBot demonstrations; tool-assisted speedruns; emulator save states What it taught: Save s"
"philosophy.html",17,"3. The Three Stooges Philosophy",106,"3. The Three Stooges Philosophy                 Source: "Tassels in the Air" (1938) — "I cheat; but "
"philosophy.html",18,"3. The Three Stooges Philosophy",101,"Source: "Tassels in the Air" (1938) — "I cheat; but I cheat fair" What it taught: The distinction be"
"philosophy.html",19,"4. Mentour Pilot's AI App",113,"4. Mentour Pilot's AI App                 Timeline: ~2022-2023 (2-3 years before my own AI work)    "
"philosophy.html",20,"4. Mentour Pilot's AI App",108,"Timeline: ~2022-2023 (2-3 years before my own AI work) What it showed: A domain expert (commercial a"
"philosophy.html",21,"5. Harry Potter Fanfic Quote",137,"5. Harry Potter Fanfic Quote                 Source: "I seek knowledge not for gain; but to better u"
"philosophy.html",22,"5. Harry Potter Fanfic Quote",132,"Source: "I seek knowledge not for gain; but to better understand myself" — password to the Departmen"
"philosophy.html",23,"What Colleagues Say",45,"What Colleagues Say                                      Thank you so much for Dan for putting time "
"philosophy.html",24,"What Colleagues Say",42,"Thank you so much for Dan for putting time into thinking this through and writing it up. Dan; thank "
"portfolio.html",0,"Portfolio",11,"Portfolio                 38 client engagements spanning 28 years of documented project work"
"portfolio.html",1,"Portfolio",10,"38 client engagements spanning 28 years of documented project work"
"portfolio.html",2,"Featured Engagements",876,"Featured Engagements                 Major projects with deep technical involvement                 "
"portfolio.html",3,"Featured Engagements",874,"Major projects with deep technical involvement GP Strategies (Internal)                         GPiL"
"portfolio.html",4,"GP Strategies (Internal)",3,"GPiLEARN LMS Platform"
"portfolio.html",5,"PNC Financial Services",2,"eLearning Development"
"portfolio.html",6,"Entergy Corporation",5,"Content Remediation & LMS Migration"
"portfolio.html",7,"General Motors",5,"Dealer Training & eLearning Platform"
"portfolio.html",8,"General Dynamics Electric Boat",5,"LMS Integration & SCORM Solutions"
"portfolio.html",9,"Cigna",5,"eLearning Platform & Content Support"
"portfolio.html",10,"State Farm Insurance",4,"Auto Estimatics VR Training"
"portfolio.html",11,"United Overseas Bank (UOB)",3,"Compliance eLearning Program"
"portfolio.html",12,"HSBC Bank",7,"Global eLearning Content Support & LMS Migration"
"portfolio.html",13,"Wells Fargo",4,"Sales Conversion Content Migration"
"portfolio.html",14,"Complete Project Directory",361,"Complete Project Directory                 All documented client engagements organized by industry  "
"portfolio.html",15,"Complete Project Directory",7,"All documented client engagements organized by industry"
"portfolio.html",16,"Financial Services",58,"Client                                 Project                                 Dates                "
"portfolio.html",17,"Pharmaceutical & Healthcare",40,"Client                                 Project                                 Dates                "
"portfolio.html",18,"Aerospace & Defense",39,"Client                                 Project                                 Dates                "
"portfolio.html",19,"Energy & Utilities",33,"Client                                 Project                                 Dates                "
"portfolio.html",20,"Technology",37,"Client                                 Project                                 Dates                "
"portfolio.html",21,"Consumer & Manufacturing",62,"Client                                 Project                                 Dates                "
"portfolio.html",22,"Government; Professional Services & Other",62,"Client                                 Project                                 Dates                "
"portfolio.html",23,"[section 23]",11,"38                         Projects Documented                                                      "
"technologies.html",0,"Technologies",10,"Technologies                 27 technologies documented across 28 years of email archives"
"technologies.html",1,"Technologies",9,"27 technologies documented across 28 years of email archives"
"technologies.html",2,"eLearning Standards & Protocols",83,"eLearning Standards & Protocols                 The communication protocols between learning content"
"technologies.html",3,"eLearning Standards & Protocols",79,"The communication protocols between learning content and platforms SCORM                            "
"technologies.html",4,"SCORM",1,"Deep"
"technologies.html",5,"AICC",1,"Deep"
"technologies.html",6,"xAPI",1,"Working"
"technologies.html",7,"Learning Management Systems",110,"Learning Management Systems                 Enterprise platforms for delivering; tracking; and manag"
"technologies.html",8,"Learning Management Systems",107,"Enterprise platforms for delivering; tracking; and managing learning content GPiLEARN               "
"technologies.html",9,"GPiLEARN",1,"Deep"
"technologies.html",10,"Cornerstone OnDemand",1,"Deep"
"technologies.html",11,"SAP SuccessFactors",1,"Deep"
"technologies.html",12,"Saba/SumTotal",1,"Working"
"technologies.html",13,"Moodle",1,"Aware"
"technologies.html",14,"Authoring Tools",81,"Authoring Tools                 Content creation platforms for building interactive eLearning       "
"technologies.html",15,"Authoring Tools",79,"Content creation platforms for building interactive eLearning Articulate Storyline                  "
"technologies.html",16,"Articulate Storyline",1,"Deep"
"technologies.html",17,"Adobe Captivate",1,"Working"
"technologies.html",18,"Xyleme",1,"Working"
"technologies.html",19,"Lectora",1,"Aware"
"technologies.html",20,"Programming & Web Development",181,"Programming & Web Development                 Core languages and frameworks used across the full sta"
"technologies.html",21,"Programming & Web Development",177,"Core languages and frameworks used across the full stack JavaScript                             Deep"
"technologies.html",22,"JavaScript",1,"Deep"
"technologies.html",23,"HTML/CSS",1,"Deep"
"technologies.html",24,"XML/XSLT",1,"Deep"
"technologies.html",25,"Flash/ActionScript",1,"Deep"
"technologies.html",26,"Node.js",1,"Working"
"technologies.html",27,"Vue.js",1,"Working"
"technologies.html",28,"React",1,"Aware"
"technologies.html",29,"Angular",1,"Aware"
"technologies.html",30,"Platforms & DevOps",89,"Platforms & DevOps                 Infrastructure; collaboration; and deployment tooling            "
"technologies.html",31,"Platforms & DevOps",86,"Infrastructure; collaboration; and deployment tooling Azure DevOps                             Worki"
"technologies.html",32,"Azure DevOps",1,"Working"
"technologies.html",33,"GitHub",1,"Aware"
"technologies.html",34,"SharePoint",1,"Working"
"technologies.html",35,"Oracle",1,"Working"
"technologies.html",36,"Docker",1,"Aware"
"technologies.html",37,"Emerging & Specialized",47,"Emerging & Specialized                 Newer technologies and specialized project management tooling"
"technologies.html",38,"Emerging & Specialized",44,"Newer technologies and specialized project management tooling VR/Unity                             A"
"technologies.html",39,"VR/Unity",1,"Aware"
"technologies.html",40,"JIRA",1,"Working"
"faq.html",0,"Frequently Asked Questions",10,"Frequently Asked Questions                 Common questions about working with Dan Novak"
"faq.html",1,"Frequently Asked Questions",7,"Common questions about working with Dan Novak"
"faq.html",2,"Hiring Logistics",161,"Hiring Logistics             Availability; rates; and work arrangements                             "
"faq.html",3,"Hiring Logistics",159,"Availability; rates; and work arrangements Are you available for new projects?                      "
"faq.html",4,"Technical Expertise",184,"Technical Expertise             Technologies; specializations; and domain knowledge                 "
"faq.html",5,"Technical Expertise",182,"Technologies; specializations; and domain knowledge What technologies do you specialize in?         "
"faq.html",6,"Working Style",252,"Working Style             Communication; collaboration; and approach                               H"
"faq.html",7,"Working Style",250,"Communication; collaboration; and approach How do you handle communication?                         "
"faq.html",8,"Process & Methodology",274,"Process & Methodology             How Dan works in practice                               What's you"
"faq.html",9,"Process & Methodology",271,"How Dan works in practice What's your typical workflow?                                      The pat"
"faq.html",10,"What Colleagues Say",42,"What Colleagues Say                                      It's always so nice working with you and ha"
"faq.html",11,"What Colleagues Say",39,"It's always so nice working with you and having you send these notes so that the developer can get g"
"contact.html",0,"Get in Touch",8,"Get in Touch                 Let's talk about your project"
"contact.html",1,"Get in Touch",5,"Let's talk about your project"
"contact.html",2,"Email",9,"Email                                      dan@pattern158.solutions                                 "
"contact.html",3,"Email",5,"dan@pattern158.solutions                                              Copy Primary contact method"
"contact.html",4,"Connect",2,"LinkedIn                     GitHub"
"contact.html",5,"What to Include",116,"What to Include                 I work best when I understand the full context. When reaching out ab"
"contact.html",6,"What to Include",113,"I work best when I understand the full context. When reaching out about a project; please include: P"
"contact.html",7,"Project Preferences",24,"I'm particularly interested in: Legacy system modernization and rescue                         LMS/S"
"contact.html",8,"Not a Good Fit",31,"I typically pass on: Greenfield mobile app development (iOS/Android native)                         "
"contact.html",9,"[section 9]",25,"You have helped us move the bar to better; more accessible courses and helped me learn a ton.       "
"testimonials.html",0,"FIELD REPORTS",18,"FIELD REPORTS             Documented evidence from incident sites; client debriefs; and post-action "
"testimonials.html",1,"FIELD REPORTS",16,"Documented evidence from incident sites; client debriefs; and post-action reviews Corroborated · Pri"
"testimonials.html",2,"Executive Summary",55,"Executive Summary             The following exhibits are drawn from professional correspondence span"
"testimonials.html",3,"Executive Summary",53,"The following exhibits are drawn from professional correspondence spanning 17 years across enterpris"
"testimonials.html",4,"Exhibits",1093,"Exhibits             Direct quotations from primary sources; organized by engagement                "
"testimonials.html",5,"Exhibits",1092,"Direct quotations from primary sources; organized by engagement Exhibit A                     Genera"
"testimonials.html",6,"Cross-Domain SCORM Resolution & Embedded Technical Advisory",133,"I'd consider the last couple days a huge success; and I look forward to working with Dan in the futu"
"testimonials.html",7,"Leadership Recognition Chain: A Repeatable Pattern",106,"I hear you did an AWESOME job onsite! EB really appreciated your support. Thank you for making the t"
"testimonials.html",8,"1;216-Lesson Content Refresh: Automation Saves 600+ Hours",162,"Dan Novak "The Fiddler" (Automation) — Dan gets this name not only because he makes extensive use of"
"testimonials.html",9,"Sales Conversion Migration: 100+ Course Technical Lead",90,"The client contact reached out to me today to convey her appreciation for the work that you two did "
"testimonials.html",10,"Cross-Platform SCORM Forensics & Legacy Recovery",74,"Thanks so much for your great work making the fixes. HSBC LMS team has approved the updated coursewa"
"testimonials.html",11,"AWARE Platform: Custom SCORM-to-API Integration",56,"Thanks for the thorough documentation of the issue and solution.                                    "
"testimonials.html",12,"Metal Additive Manufacturing Course: Rapid Diagnosis",54,"Kudos on finding this solution so promptly! … This email was a huge relief.                         "
"testimonials.html",13,"Enterprise Accessibility Initiative: Methodology Creation",51,"Thank you for all your amazing work!                                              Senior Learning Pr"
"testimonials.html",14,"Investigation Reports",8,"Methodology-driven case studies: the investigation is the deliverable"
"testimonials.html",15,"GM Learning Portal: Course Completion Anomaly Investigation",80,"Investigation Summary                     GM reported a 4x spike in incomplete courses after migrati"
"testimonials.html",16,"Microsoft MCAPS: AI-Led Training Agent",80,"Investigation Summary                     Building on a decade of GP Strategies’ embedded work on Mi"
"testimonials.html",17,"Power Platform: Architecture Audit",56,"Investigation Summary                     Internal ERP modernization on Power Platform where institu"
"testimonials.html",18,"Recurring Patterns in the Record",123,"Recurring Patterns in the Record                                                    Tooling & Automa"
"testimonials.html",19,"Recurring Patterns in the Record",118,"Tooling & Automation                                              Built publishing automation saving"
"testimonials.html",20,"Tooling & Automation",39,"Built publishing automation saving 600+ labor hours                         Created cross-domain SCO"
"testimonials.html",21,"Client Impact",37,"Work praised independently by 3+ contacts at Electric Boat                         Microsoft program"
"testimonials.html",22,"Problem-Solving Speed",35,"5 critical issues resolved in a 2-day on-site (Electric Boat)                         Course complet"
"exhibits/exhibit-a.html",0,"INVESTIGATION REPORT",55,"INVESTIGATION REPORT             Electric Boat LMS Integration — Cross-Domain SCORM Resolution & Emb"
"exhibits/exhibit-a.html",1,"INVESTIGATION REPORT",53,"Electric Boat LMS Integration — Cross-Domain SCORM Resolution & Embedded Technical Advisory Classifi"
"exhibits/exhibit-a.html",2,"[section 2]",169,"1.                 Background                                           Electric Boat; a division of"
"exhibits/exhibit-a.html",3,"[section 3]",87,"2.                 Personnel Involved                                           Dan Novak served as "
"exhibits/exhibit-a.html",4,"[section 4]",827,"3.                 Sequence of Events                                                               "
"exhibits/exhibit-a.html",5,"[section 5]",343,"4.                 Findings                          The following five issues were identified and r"
"exhibits/exhibit-a.html",6,"[section 6]",134,"5.                 Probable Cause                                            The investigation deter"
"exhibits/exhibit-a.html",7,"[section 7]",133,"6.                 Recommendations Implemented                                           Cross-domai"
"exhibits/exhibit-a.html",8,"[section 8]",243,"7.                 Corroborating Evidence                                                           "
"exhibits/exhibit-a.html",9,"[section 9]",231,"8.                 Continued Engagement (2019–2022)                                            What "
"exhibits/exhibit-b.html",0,"INVESTIGATION REPORT",15,"INVESTIGATION REPORT             EXHIBIT B — Leadership Recognition Chain: A Repeatable Pattern     "
"exhibits/exhibit-b.html",1,"INVESTIGATION REPORT",13,"EXHIBIT B — Leadership Recognition Chain: A Repeatable Pattern Multi-Source Corroboration · 2018–201"
"exhibits/exhibit-b.html",2,"Background",782,"Section 1                 Background                 This exhibit documents two independent recognit"
"exhibits/exhibit-b.html",3,"Background",91,"This exhibit documents two independent recognition cascades that followed Dan Novak's on-site techni"
"exhibits/exhibit-b.html",4,"Personnel",114,"Name                             Title / Role                             Involvement               "
"exhibits/exhibit-b.html",5,"Timeline",140,"August 2018                                                      First on-site visit — 2-day engagem"
"exhibits/exhibit-b.html",6,"First Recognition Cascade — August 2018",118,"Following a 2-day on-site visit to resolve cross-domain SCORM communication failures; recognition pr"
"exhibits/exhibit-b.html",7,"Second Recognition Cascade — April 2019",145,"Eight months later; a 12-day on-site engagement produced the same pattern — recognition propagating "
"exhibits/exhibit-b.html",8,"Pattern Analysis",74,"Both cascades share structural characteristics that distinguish genuine impact from procedural court"
"exhibits/exhibit-b.html",9,"Significance",68,"A single recognition event can be attributed to politics; timing; or courtesy. Two independent casca"
"exhibits/exhibit-b.html",10,"[section 10]",5,"← Back to Field Reports"
"exhibits/exhibit-c.html",0,"INVESTIGATION REPORT",20,"INVESTIGATION REPORT             EXHIBIT C — Content Refresh Project: 600 Hours Saved Through Automa"
"exhibits/exhibit-c.html",1,"INVESTIGATION REPORT",18,"EXHIBIT C — Content Refresh Project: 600 Hours Saved Through Automation Automation · Process Enginee"
"exhibits/exhibit-c.html",2,"Background",577,"Section 1                 Background                 In 2015; GP Strategies undertook a massive cont"
"exhibits/exhibit-c.html",3,"Background",54,"In 2015; GP Strategies undertook a massive content refresh of their enterprise course library. A tot"
"exhibits/exhibit-c.html",4,"The Problem",83,"Publishing lessons from Xyleme was a manual; time-consuming process. Each lesson had to be individua"
"exhibits/exhibit-c.html",5,"The Solution",81,"Dan Novak used the Fiddler network debugging tool to analyze and integrate with Xyleme's publishing "
"exhibits/exhibit-c.html",6,"Personnel",86,"Name                             Nickname                             Role / Contribution           "
"exhibits/exhibit-c.html",7,"Primary Source Testimony",135,"Dan Novak "The Fiddler" (Automation) — Dan gets this name not only because he makes extensive use of"
"exhibits/exhibit-c.html",8,"Additional Context",74,"The recognition email gave each of 15 team members a unique nickname highlighting their specific con"
"exhibits/exhibit-c.html",9,"Impact Metrics",37,"600+                         Labor Hours Saved via Automation                                       "
"exhibits/exhibit-c.html",10,"[section 10]",5,"← Back to Field Reports"
"exhibits/exhibit-d.html",0,"INVESTIGATION REPORT",25,"INVESTIGATION REPORT             EXHIBIT D — Wells Fargo: Sales Conversion Content Migration & Techn"
"exhibits/exhibit-d.html",1,"INVESTIGATION REPORT",23,"EXHIBIT D — Wells Fargo: Sales Conversion Content Migration & Technical Leadership Enterprise Migrat"
"exhibits/exhibit-d.html",2,"Background",1271,"Section 1                 Background                 Wells Fargo engaged GP Strategies in 2018 to ex"
"exhibits/exhibit-d.html",3,"Background",162,"Wells Fargo engaged GP Strategies in 2018 to execute a large-scale content migration project: transf"
"exhibits/exhibit-d.html",4,"Personnel",119,"Name                             Title / Organization                             Role in Engagement"
"exhibits/exhibit-d.html",5,"Technical Contributions",13,"Dan's role extended beyond standard functional QA into technical problem-solving and methodology dev"
"exhibits/exhibit-d.html",6,"QA Budget Estimation Methodology",53,"Dan developed a structured approach to estimating QA effort based on interactivity-level multipliers"
"exhibits/exhibit-d.html",7,"Xyleme SCORM Publishing Expertise",78,"Drawing on his prior work with Xyleme during the GPiLEARN platform development (2012-2013); Dan prov"
"exhibits/exhibit-d.html",8,"Cross-Browser SCORM Failure Diagnosis",67,"Dan diagnosed persistent SCORM completion tracking and bookmarking failures in Flash-based legacy co"
"exhibits/exhibit-d.html",9,"Full Administrative Access",48,"Wells Fargo granted Dan full administrative access to their Xyleme Studio instance — a level of trus"
"exhibits/exhibit-d.html",10,"Findings",242,"The migration project presented several classes of technical challenges: Legacy Format Incompatibili"
"exhibits/exhibit-d.html",11,"Evidence",110,"The client contact reached out to me today to convey her appreciation for the work that you two did "
"exhibits/exhibit-d.html",12,"Context",178,"The Wells Fargo engagement occurred during a transitional period in enterprise eLearning technology."
"exhibits/exhibit-d.html",13,"Significance",164,"This exhibit demonstrates Dan's ability to serve as a technical lead on enterprise-scale migration p"
"exhibits/exhibit-d.html",14,"[section 14]",5,"← Back to Field Reports"
"exhibits/exhibit-f.html",0,"INVESTIGATION REPORT",53,"INVESTIGATION REPORT             EXHIBIT F — HSBC Global Banking: Cross-Platform SCORM Forensics & L"
"exhibits/exhibit-f.html",1,"INVESTIGATION REPORT",51,"EXHIBIT F — HSBC Global Banking: Cross-Platform SCORM Forensics & Legacy Recovery Classification: Cl"
"exhibits/exhibit-f.html",2,"Background",608,"Section 1                 Background                 HSBC was a Tier 1 client of GP Strategies spann"
"exhibits/exhibit-f.html",3,"Background",74,"HSBC was a Tier 1 client of GP Strategies spanning nearly a decade (2015–2024) with 560+ documented "
"exhibits/exhibit-f.html",4,"Personnel Involved",126,"Name                             Title / Organization                             Role in Engagement"
"exhibits/exhibit-f.html",5,"Technical Contributions",16,"Dan’s contributions to the HSBC engagement spanned protocol-level debugging; forensic asset recovery"
"exhibits/exhibit-f.html",6,"3a. SCORM API Wrapper Bug Discovery",70,"While debugging course completion failures on HSBC’s SuccessFactors instance; Dan traced the root ca"
"exhibits/exhibit-f.html",7,"3b. Flash Legacy Content Recovery",55,"When HSBC needed to update legacy Flash-based courses but the original FLA source files had been los"
"exhibits/exhibit-f.html",8,"3c. Global Localization Debugging",50,"A localized HTML5 Sales Suitability course was failing to deploy correctly on HSBC’s global SAP Succ"
"exhibits/exhibit-f.html",9,"Evidence",34,"Thanks so much for your great work making the fixes. HSBC LMS team has approved the updated coursewa"
"exhibits/exhibit-f.html",10,"Findings",107,"The HSBC engagement demonstrates three recurring capabilities: 1. Protocol-level debugging — The SCO"
"exhibits/exhibit-f.html",11,"Significance",41,"By the numbers: 560+ documented interactions · 25 HSBC contacts across 5 countries · 7+ year engagem"
"exhibits/exhibit-f.html",12,"[section 12]",5,"← Back to Field Reports"
"exhibits/exhibit-g.html",0,"INVESTIGATION REPORT",19,"INVESTIGATION REPORT             EXHIBIT G — SunTrust AWARE Platform: Custom SCORM-to-API Integratio"
"exhibits/exhibit-g.html",1,"INVESTIGATION REPORT",17,"EXHIBIT G — SunTrust AWARE Platform: Custom SCORM-to-API Integration Architecture Custom Integration"
"exhibits/exhibit-g.html",2,"Background",140,"Section 1                 Background                 SunTrust Bank (now Truist Financial; formed fro"
"exhibits/exhibit-g.html",3,"Background",137,"SunTrust Bank (now Truist Financial; formed from the SunTrust/BB&T merger in 2019) required a specia"
"exhibits/exhibit-g.html",4,"Personnel",43,"Section 2                 Personnel                                                                 "
"exhibits/exhibit-g.html",5,"Personnel",40,"Name                             Role                                                               "
"exhibits/exhibit-g.html",6,"The Integration Challenge",201,"Section 3                 The Integration Challenge                 Standard SCORM courseware expect"
"exhibits/exhibit-g.html",7,"The Integration Challenge",41,"Standard SCORM courseware expects to communicate with an LMS through the SCORM API adapter (JavaScri"
"exhibits/exhibit-g.html",8,"Architectural Requirements",98,"The custom SCORM-to-API wrapper needed to: Intercept SCORM Runtime Calls: Capture LMSInitialize; LMS"
"exhibits/exhibit-g.html",9,"Security and Trust Implications",51,"The integration required such deep access to SunTrust's systems that Dan was issued a dedicated SunT"
"exhibits/exhibit-g.html",10,"Technical Approach",309,"Section 4                 Technical Approach                 Dan scoped a 66-hour integration lifecy"
"exhibits/exhibit-g.html",11,"Technical Approach",27,"Dan scoped a 66-hour integration lifecycle covering the full development process. The approach built"
"exhibits/exhibit-g.html",12,"Five-Phase Integration Lifecycle",140,"API Development Consultation: Work directly with SunTrust's backend developer during API design phas"
"exhibits/exhibit-g.html",13,"Key Architectural Decisions Dan Shaped",93,"During the scoping and consultation phase; Dan raised critical questions that directly influenced th"
"exhibits/exhibit-g.html",14,"Technology Stack",35,"Courseware Authoring: Lectora; Adobe Captivate                     Standards: SCORM 1.2; AICC (refer"
"exhibits/exhibit-g.html",15,"Evidence",131,"Section 5                 Evidence                                       Thanks for the thorough doc"
"exhibits/exhibit-g.html",16,"Evidence",128,"Thanks for the thorough documentation of the issue and solution. Do you have a figure?              "
"exhibits/exhibit-g.html",17,"Findings",195,"Section 6                 Findings                 The SunTrust AWARE platform engagement represents"
"exhibits/exhibit-g.html",18,"Findings",30,"The SunTrust AWARE platform engagement represents a multi-year (2015-2018) custom integration archit"
"exhibits/exhibit-g.html",19,"Significance",161,"This engagement demonstrates several key capabilities: Architectural Leadership: Dan didn't just imp"
"exhibits/exhibit-h.html",0,"INVESTIGATION REPORT",18,"INVESTIGATION REPORT             EXHIBIT H — Metal Additive Manufacturing Course: Rapid Diagnosis   "
"exhibits/exhibit-h.html",1,"INVESTIGATION REPORT",16,"EXHIBIT H — Metal Additive Manufacturing Course: Rapid Diagnosis Corroborated · Cross-Functional Res"
"exhibits/exhibit-h.html",2,"Background",66,"Section 1                 Background                 In October 2019; a client-facing online course "
"exhibits/exhibit-h.html",3,"Background",63,"In October 2019; a client-facing online course on "Design for Metal Additive Manufacturing" had func"
"exhibits/exhibit-h.html",4,"Personnel",49,"Section 2                 Personnel                                                                 "
"exhibits/exhibit-h.html",5,"Personnel",46,"Name                             Role                                                               "
"exhibits/exhibit-h.html",6,"Evidence",75,"Section 3                 Evidence                                       Kudos on finding this solut"
"exhibits/exhibit-h.html",7,"Evidence",72,"Kudos on finding this solution so promptly!                                              GP Strategi"
"exhibits/exhibit-h.html",8,"Root Cause Analysis",66,"Section 4                 Root Cause Analysis                 The LMS Configuration Specialist ident"
"exhibits/exhibit-h.html",9,"Root Cause Analysis",61,"The LMS Configuration Specialist identified an LMS configuration issue causing the completion tracki"
"exhibits/exhibit-h.html",10,"Findings",98,"Section 5                 Findings                  Significance                 Cross-functional co"
"exhibits/exhibit-h.html",11,"Significance",94,"Cross-functional collaboration to quickly resolve a client-impacting issue. Three independent expres"
"exhibits/exhibit-i.html",0,"INVESTIGATION REPORT",23,"INVESTIGATION REPORT             EXHIBIT I — TD Bank Accessibility Initiative: Enterprise Methodolog"
"exhibits/exhibit-i.html",1,"INVESTIGATION REPORT",21,"EXHIBIT I — TD Bank Accessibility Initiative: Enterprise Methodology Creation Corroborated · WCAG 2."
"exhibits/exhibit-i.html",2,"Background",142,"Section 1                 Background                 In 2021; Dan Novak was assigned by GP Strategie"
"exhibits/exhibit-i.html",3,"Background",139,"In 2021; Dan Novak was assigned by GP Strategies management to establish an enterprise-level accessi"
"exhibits/exhibit-i.html",4,"Personnel",60,"Section 2                 Personnel                                                                 "
"exhibits/exhibit-i.html",5,"Personnel",57,"Name                             Role                                                               "
"exhibits/exhibit-i.html",6,"The Standards Gap",142,"Section 3                 The Standards Gap                 The core challenge Dan solved: "How do y"
"exhibits/exhibit-i.html",7,"The Standards Gap",137,"The core challenge Dan solved: "How do you test something with no standard?" Interactive eLearning c"
"exhibits/exhibit-i.html",8,"Methodology",188,"Section 4                 Methodology                 Dan created the accessibility testing practice"
"exhibits/exhibit-i.html",9,"Methodology",12,"Dan created the accessibility testing practice through first-principles research and iterative refin"
"exhibits/exhibit-i.html",10,"Research Phase",49,"Self-directed study of WCAG 2.1 specification and Section 508 requirements                     Champ"
"exhibits/exhibit-i.html",11,"Template Creation",36,"Designed accessibility confirmation statement templates for client reporting                     Est"
"exhibits/exhibit-i.html",12,"Testing Protocol",82,"Keyboard navigation testing across all interactive elements (tab order; focus management; keyboard t"
"exhibits/exhibit-i.html",13,"Accessibility Scope (TD MIC)",133,"Section 5                 Accessibility Scope (TD MIC)                 Dan performed comprehensive a"
"exhibits/exhibit-i.html",14,"Accessibility Scope (TD MIC)",23,"Dan performed comprehensive accessibility testing for TD Bank's Mutual Investment Counsellor (TD MIC"
"exhibits/exhibit-i.html",15,"Testing Deliverables",39,"WCAG 2.1 compliance verification against Level A and AA success criteria                     Section"
"exhibits/exhibit-i.html",16,"Reporting & Remediation",60,"Accessibility confirmation statements for client delivery                     Issue triage with seve"
"exhibits/exhibit-i.html",17,"Evidence",131,"Section 6                 Evidence                                       Thank you for all your amaz"
